Imicro1;I1;T1;LnI1;sLnI1;Imicro2;I2;T2;LnI2;sLnI2;Imicro3;I3;T3;LnI3;sLnI3;Imicro4;I4;T4;LnI4;sLnI4
1,8;0,0000018;0,0;-13,227724;0,055556;1,8;0,0000018;0,0;-13,227724;0,055556;1,8;0,0000018;0,0;-13,227724;0,055556;1,8;0,0000018;0,0;-13,227724;0,055556
1,7;0,0000017;0,8;-13,284882;0,058824;1,7;0,0000017;1,5;-13,284882;0,058824;1,7;0,0000017;5,6;-13,284882;0,058824;1,7;0,0000017;8,7;-13,284882;0,058824
1,6;0,0000016;2,7;-13,345507;0,062500;1,6;0,0000016;5,1;-13,345507;0,062500;1,6;0,0000016;16,2;-13,345507;0,062500;1,6;0,0000016;28,5;-13,345507;0,062500
1,5;0,0000015;4,2;-13,410045;0,066667;1,5;0,0000015;8,6;-13,410045;0,066667;1,5;0,0000015;27,3;-13,410045;0,066667;1,5;0,0000015;50,3;-13,410045;0,066667
1,4;0,0000014;6,3;-13,479038;0,071429;1,4;0,0000014;12,7;-13,479038;0,071429;1,4;0,0000014;39,4;-13,479038;0,071429;1,4;0,0000014;74,7;-13,479038;0,071429
1,3;0,0000013;7,7;-13,553146;0,076923;1,3;0,0000013;16,8;-13,553146;0,076923;1,3;0,0000013;52,3;-13,553146;0,076923;1,3;0,0000013;98,6;-13,553146;0,076923
1,2;0,0000012;9,6;-13,633189;0,083333;1,2;0,0000012;20,9;-13,633189;0,083333;1,2;0,0000012;66,6;-13,633189;0,083333;1,2;0,0000012;120,5;-13,633189;0,083333
1,1;0,0000011;12,3;-13,720200;0,090909;1,1;0,0000011;25,4;-13,720200;0,090909;1,1;0,0000011;80,3;-13,720200;0,090909;1,1;0,0000011;150,1;-13,720200;0,090909
1,0;0,0000010;14,8;-13,81551;0,100000;1,0;0,0000010;30,1;-13,81551;0,100000;1,0;0,0000010;98,4;-13,81551;0,100000;1,0;0,0000010;182,0;-13,81551;0,100000
0,9;0,0000009;17,5;-13,92087;0,111111;0,9;0,0000009;36,5;-13,92087;0,111111;0,9;0,0000009;117,2;-13,92087;0,111111;0,9;0,0000009;210,3;-13,92087;0,111111
0,8;0,0000008;20,7;-14,03865;0,125000;0,8;0,0000008;43,9;-14,03865;0,125000;0,8;0,0000008;135,6;-14,03865;0,125000;0,8;0,0000008;270,4;-14,03865;0,125000
0,7;0,0000007;24,3;-14,17219;0,142857;0,7;0,0000007;51,8;-14,17219;0,142857;0,7;0,0000007;158,1;-14,17219;0,142857;0,7;0,0000007;310,7;-14,17219;0,142857
0,6;0,0000006;28,4;-14,32634;0,166667;0,6;0,0000006;60,7;-14,32634;0,166667;0,6;0,0000006;183,2;-14,32634;0,166667;0,6;0,0000006;365,4;-14,32634;0,166667
0,5;0,0000005;32,3;-14,50866;0,200000;0,5;0,0000005;69,9;-14,50866;0,200000;0,5;0,0000005;216,4;-14,50866;0,200000;0,5;0,0000005;427,8;-14,50866;0,200000
0,4;0,0000004;38,9;-14,73180;0,250000;0,4;0,0000004;83,2;-14,73180;0,250000;0,4;0,0000004;260,3;-14,73180;0,250000;0,4;0,0000004;503,2;-14,73180;0,250000
0,3;0,0000003;46,5;-15,01948;0,333333;0,3;0,0000003;98,9;-15,01948;0,333333;0,3;0,0000003;304,2;-15,01948;0,333333;0,3;0,0000003;599,8;-15,01948;0,333333
0,2;0,0000002;56,4;-15,42495;0,500000;0,2;0,0000002;120,2;-15,42495;0,500000;0,2;0,0000002;372,3;-15,42495;0,500000;0,2;0,0000002;738,5;-15,42495;0,500000
0,1;0,0000001;74,3;-16,11810;1,000000;0,1;0,0000001;160,1;-16,11810;1,000000;0,1;0,0000001;491,5;-16,11810;1,000000;0,1;0,0000001;960,5;-16,11810;1,000000
